"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
,,,"2010 Games Operating Trust Society","NULL","2010 Games Operating Trust Society","Société du legs des Jeux de 2010 (Fiduciaire pour les fonds de fonctionnement des Jeux)","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","James Bruce","James Bruce","<p>To promote high performance amateur sport in Canada and to contribute to the maintenance and operation of certain facilities created for the 2010 Olympic and Paralympic Winter Games.</p>","<p>Promouvoir le sport amateur de haut niveau au Canada et contribuer &#224; l&#8217;entretien et &#224; l&#8217;exploitation d&#8217;installations cr&#233;&#233;es pour les Jeux olympiques et paralympiques d'hiver de 2010.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32.</p>","N.A.","N.A."
,,,"Aboriginal Healing Foundation","NULL","Aboriginal Healing Foundation","Fondation autochtone de guérison","Aboriginal Affairs and Northern Development","Affaires autochtones et du développement du Nord canadien","Duncan, John (Hon.)","Minister of Aboriginal Affairs and Northern Development","NULL","NULL","NULL","NULL","Duncan, John (L'hon.)","ministre des Affaires autochtones et du développement du Nord canadien","NULL","NULL","NULL","NULL","Georges Erasmus, Chair and President","Georges Erasmus, président","<p>The Foundation was created in response to the Royal Commission on Aboriginal Peoples to address the healing needs of Aboriginal people affected by the legacy of Indian Residential Schools, including intergenerational effects. The Foundation fulfills its mandate primarily through the financial support of healing projects and healing centres across Canada. The Foundation has also published several research projects concerning the Indian Residential School experience, reconciliation, healing, the impacts of lump-sum payments, and other related issues. In addition, the Foundation contributes to public education about Indian Residential Schools and their impacts.</p> <p>On March 31, 2010, funding for 134 healing projects ended.&#160;Funding for 11 healing centres will continue until December 31, 2013.&#160;The Foundation will close in September 2014.</p> <p>As part of its wind-down strategy, the Foundation will fulfill the remaining work of its mandate, including the publication of annual reports and corporate plans, and the distribution of its research products.</p>","<p>La Fondation a &#233;t&#233; cr&#233;&#233;e en r&#233;ponse &#224; la Commission royale sur les peuples autochtones pour traiter des besoins de gu&#233;rison des peuples autochtones ayant subi les s&#233;quelles des pensionnats indiens, y compris les effets interg&#233;n&#233;rationnels. La Fondation remplit son mandat principalement en finan&#231;ant des projets de gu&#233;rison et des centres de gu&#233;rison partout au Canada. Elle a aussi publi&#233; plusieurs projets de recherche relativement &#224; l&#8217;exp&#233;rience des pensionnats indiens, la r&#233;conciliation, la gu&#233;rison, les paiements forfaitaires et d&#8217;autres questions connexes. En outre, la Fondation contribue &#224; l&#8217;&#233;ducation du grand public sur l&#8217;exp&#233;rience v&#233;cue dans les pensionnats indiens et ses incidences.</p> <br /> <p>Le 31 mars 2010, le financement de 134 projets de gu&#233;rison est arriv&#233; &#224; terme. Onze centres de gu&#233;rison continueront d&#8217;&#234;tre financ&#233;s jusqu&#8217;au 31 d&#233;cembre 2013. La Fondation fermera ses portes en septembre 2014.</p> <p>Dans le cadre de sa strat&#233;gie de r&#233;duction des op&#233;rations, la Fondation ach&#232;vera les travaux li&#233;s &#224; son mandat, y compris la publication de rapports annuels et de plans d&#8217;entreprise ainsi que la distribution des produits de recherche.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p>Incorporated through the Funding Agreements with the Government of Canada</p>","<p>Incorpor&#233;e &#224; la suite d&#8217;accords de financement avec le gouvernement du Canada</p>","www.ahf.ca","www.ahf.ca"
,,,"Aéroport de Québec Inc.","NULL","Aéroport de Québec Inc.","Aéroport de Québec Inc.","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Gaëtan Gagné, President and Chief Executive Officer","Gaëtan Gagné, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.aeroportdequebec.com","www.aeroportdequebec.com"
,,,"Aéroports de Montréal","NULL","Aéroports de Montréal","Aéroports de Montréal","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","James C. Cherry, President and Chief Executive Officer","James C. Cherry, président-directeur général","<p>To manage, operate, and develop the airports.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.admtl.com","www.admtl.com"
,,,"African Development Bank","NULL","African Development Bank","Banque africaine de développement","Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement","Baird, John (Hon.)","Minister of Foreign Affairs","NULL","NULL","NULL","NULL","Baird, John (L'hon.)","ministre des Affaires étrangères","NULL","NULL","NULL","NULL","Donald Kaberuka, President","Donald Kaberuka, président","<p>The African Development Bank (AFDB) has a mandate to contribute to the sustainable economic development and social progress of its regional members individually and jointly.</p>","<p>La Banque africaine de d&#233;veloppement a re&#231;u le mandat de contribuer au d&#233;veloppement &#233;conomique durable et au progr&#232;s social des &#201;tats membres r&#233;gionaux, individuellement et collectivement.</p>","International Organization","Organisations internationales","<p>Articles of Agreement of the African Development Bank, 1963; implemented in Canada by the <em>International Development (Financial Institutions) Assistance Act</em>, R.S.C. 1985, c. I-18</p>","<p>Articles de convention de la Banque africaine de d&#233;veloppement, 1963; mis en &#339;uvre au Canada en vertu de la <em>Loi d&#8217;aide au d&#233;veloppement international (institutions financi&#232;res) </em>, L.R.C. 1985, ch. I-18</p>","www.afdb.org","www.afdb.org"
,,,"Asia-Pacific Foundation of Canada","NULL","Asia-Pacific Foundation of Canada","Fondation Asie-Pacifique du Canada","Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement","Baird, John (Hon.)","Minister of Foreign Affairs","NULL","NULL","NULL","NULL","Baird, John (L'hon.)","ministre des Affaires étrangères","NULL","NULL","NULL","NULL","Yuen Pau Woo, President and Chief Executive Officer","Yuen Pau Woo, président-directeur général","<p>The Asia-Pacific Foundation of Canada is an independent, not-for-profit think tank on Canada&#8217;s relations with Asia. The Foundation functions as a knowledge broker, bringing together people and knowledge to provide the most current and comprehensive research, analysis, and information on Canada&#8217;s trans-Pacific relations. It promotes dialogue on economic, security, political, and social issues, helping to influence public policy and foster informed decision making in Canadian public, private, and non-governmental sectors.</p>","<p>La Fondation Asie Pacifique du Canada est un groupe de r&#233;flexion ind&#233;pendant &#224; but non lucratif qui s&#8217;int&#233;resse aux relations du Canada avec l'Asie. La Fondation agit comme courtier de connaissances en rassemblant les expertises et les connaissances pour mener des recherches actuelles et approfondies, dresser des analyses et pr&#233;senter de l&#8217;information sur les relations transpacifiques du Canada. Elle fait la promotion du dialogue sur les enjeux &#233;conomiques, sociaux, politiques et en mati&#232;re de s&#233;curit&#233; afin d&#8217;aider &#224; influer sur l&#8217;&#233;laboration des politiques publiques et de favoriser la prise de d&#233;cisions &#233;clair&#233;es de la part des secteurs public, priv&#233; et non gouvernemental au Canada.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Asia-Pacific Foundation of Canada Act</em>, R.S.C. 1985, c. A-13</p>","<p><em>Loi sur la Fondation Asie-Pacifique du Canada</em>, L.R.C. 1985, ch. A-13</p>","www.asiapacific.ca","www.asiapacific.ca"
,,,"Asian Development Bank","NULL","Asian Development Bank","Banque asiatique de développement","Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement","Baird, John (Hon.)","Minister of Foreign Affairs","NULL","NULL","NULL","NULL","Baird, John (L'hon.)","ministre des Affaires étrangères","NULL","NULL","NULL","NULL","Takehiko Nakao, President","Takehiko Nakao, président","<p>The Asian Development Bank (ADB) aims for an Asia and Pacific free from poverty. The ADB is an international development finance institution whose mission is to help its developing member countries reduce poverty and improve the quality of life of their people.</p>","<p>La Banque asiatique de d&#233;veloppement vise pour une Asie et Pacifique sans pauvret&#233;. Elle est une institution financi&#232;re de d&#233;veloppement international qui a pour mission d'aider les pays en d&#233;veloppement de la r&#233;gion &#224; contrer la pauvret&#233; et &#224; am&#233;liorer la qualit&#233; de vie de sa population.</p>","International Organization","Organisations internationales","<p>Articles of Agreement of the Asian Development Bank, 1965; implemented in Canada by the <em>International Development (Financial Institutions) Assistance Act</em>, R.S.C. 1985, c. I-18</p>","<p>Articles de convention de la Banque asiatique de d&#233;veloppement, 1965; mis en &#339;uvre au Canada en vertu de la <em>Loi d&#8217;aide au d&#233;veloppement international (institutions financi&#232;res) </em>, L.R.C. 1985, ch. I-18</p>","www.adb.org","www.adb.org"
,,,"Association of Canada Lands Surveyors","NULL","Association of Canada Lands Surveyors","Association des arpenteurs des terres du Canada","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Estelle Moisan, President","Estelle Moisan, présidente","<p>To establish and maintain qualification standards and regulate Canada Lands Surveyors; to establish and maintain standards of conduct, knowledge, and skill among members of the Association and permit holders; to govern the activities of the members and permit holders; to cooperate with other organizations for the advancement of surveying; and to perform the duties and exercise the powers that are imposed or conferred on the Association by the <em>Canada Lands Surveyors Act</em>.</p>","<p>&#201;tablir et maintenir les normes d&#8217;admissibilit&#233; ainsi que r&#233;gir les arpenteurs des terres du Canada; &#233;tablir et maintenir les normes de conduite, de connaissances et de comp&#233;tences des membres de l&#8217;Association et des titulaires de licence; r&#233;gir les activit&#233;s des membres et des titulaires de licence; collaborer avec d&#8217;autres organisations &#224; la promotion de l&#8217;arpentage et exercer les autres fonctions et pouvoirs d&#233;coulant de la <em>Loi sur les arpenteurs des terres du Canada.</em></p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Lands Surveyors Act</em>, S.C. 1998, c. 14<br /> <em>Canada Lands Surveys Act</em>, R.S.C. 1985, c. L-6</p>","<p><em>Loi sur les arpenteurs des terres du Canada</em>, L.C. 1998, ch. 14<br /> <em>Loi sur l'arpentage des terres du Canada</em>, L.R.C. 1985, ch. L-6</p>","www.acls-aatc.ca","www.acls-aatc.ca"
,,,"Bank of Canada","NULL","Bank of Canada","Banque du Canada","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Stephen S. Poloz, Governor","Stephen S. Poloz, gouverneur","<p>The mandate of the Bank is to regulate credit and currency in the best interests of the economic life of the nation, to control and protect the external value of the national monetary unit and to mitigate by its influence fluctuations in the general level of production, trade, prices and employment, so far as may be possible within the scope of monetary action, and generally to promote the economic and financial welfare of Canada. The Bank shall act as fiscal agent of the Government of Canada. The Bank has the sole right to issue notes.</p>","<p>La Banque est institu&#233;e pour r&#233;glementer le cr&#233;dit et la monnaie dans l&#8217;int&#233;r&#234;t de la vie &#233;conomique de la nation, pour contr&#244;ler et prot&#233;ger la valeur de la monnaie nationale sur les march&#233;s internationaux, pour att&#233;nuer, autant que possible par l&#8217;action mon&#233;taire, les fluctuations du niveau g&#233;n&#233;ral de la production, du commerce, des prix et de l&#8217;emploi, et de fa&#231;on g&#233;n&#233;rale pour favoriser la prosp&#233;rit&#233; &#233;conomique et financi&#232;re du Canada. La Banque remplit les fonctions d&#8217;agent financier du gouvernement du Canada. La Banque est seule habilit&#233;e &#224; &#233;mettre des billets.</p>","Crown Corporation","Sociétés d'État","<p><em>Bank of Canada Act</em>, R.S.C. 1985, c. B-2</p>","<p><em>Loi sur la Banque du Canada</em>, L.R.C. 1985, ch. B-2</p>","www.bankofcanada.ca","www.bank-banque-canada.ca"
,,,"Belledune Port Authority","NULL","Belledune Port Authority","Administration portuaire de Belledune","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Rayburn Doucett, President and Chief Executive Officer","Rayburn Doucett, président-directeur général","<p>To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.</p>","<p>G&#233;rer l&#8217;infrastructure et les services maritimes sur une base commerciale tout en favorisant la participation des utilisateurs du port et de la collectivit&#233; dans laquelle il est situ&#233; et en tenant compte de leurs opinions.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Marine Act</em>, S.C. 1998, c. 10</p>","<p><em>Loi maritime du Canada</em>, L.C. 1998, ch. 10</p>","www.portofbelledune.ca","www.portofbelledune.ca"
