"DeptCode","VoteNumberModified","VoteStatType","DescriptionE","DescriptionF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"ACOA",1,1,"Operating/Program","Fonctionnement/Programme",74515000,15240000,47707000,79703000,16869000,49445000
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions",231352000,44544000,109916000,240751000,49297000,109983000
"ACOA","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",6970000,1735000,5211000,7938000,1977000,5932000
"AECB",20,1,"Operating/Program","Fonctionnement/Programme",48020000,9849000,33381000,39783000,5528000,23119000
"AECB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",4399000,1089000,3268000,3841000,960000,2881000
"AECB","S",999,"Expenditures pursuant to paragraph 29.1(1) of the Financial Administration Act","Dépenses en vertu du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",87251000,22669000,61087000,86250000,22084000,55907000
"AGR",1,1,"Operating/Program","Fonctionnement/Programme",679175000,139785000,439289000,721432000,141484000,438715000
"AGR",5,2,"Capital","Capital",34849000,8599000,13666000,32066000,6585000,12666000
"AGR",10,3,"Grants & Contributions","Subventions et Contributions",447925000,40393000,90478000,632129000,47440000,116836000
"AGR","S",999,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association",2500000,0,0,5000000,0,0
"AGR","S",999,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel",-421000,-668000,-2315000,-48000,-196000,-1464000
"AGR","S",999,"Class grant payments for the Farm Income program","Paiements de subvention par catégorie pour le programme de revenu agricole",0,0,-3000,0,-4000,-13000
"AGR","S",999,"Class grant payments for the Transitional Industry Support program","Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie",0,-2000,-8000,0,0,-36000
"AGR","S",999,"Contribution payments for the AgriInsurance program","Paiements de contributions pour le programme Agri-protection",640800000,284608000,390167000,410000000,250348000,334088000
"AGR","S",999,"Contribution payments for the AgriInvest Kickstart program","Paiements de contributions pour le programme de démarrage d'Agri-investissement",0,0,0,0,0,-10000
"AGR","S",999,"Contribution payments for the AgriInvest program","Paiements de contributions pour le programme Agri­investissement",17500000,14863000,21223000,29000000,498000,713000
"AGR","S",999,"Contribution payments for the AgriStability program","Paiements de contributions pour le programme Agri-stabilité",219300000,-1873000,-10332000,500000000,6095000,143000
"AGR","S",999,"Contribution payments for the Agricultural Disaster Relief Program (ADRP)/AgriRecovery","Paiements de contributions pour le Programme d'aide en cas de catastrophe agricole - Agri-relance",110800000,58000,197000,110870000,4695000,9880000
"AGR","S",999,"Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de contributions pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",0,-46000,-202000,0,0,-26000
"AGR","S",999,"Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié",0,-213000,-553000,0,-238000,-758000
"AGR","S",999,"Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Province-Based programs","Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture - Programmes provinciaux",0,0,0,0,-8000,-8000
"AGR","S",999,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l'appui de l'initiative d'aide à l'industrie porcine",635000,-3686000,-3686000,405000,0,0
"AGR","S",999,"Contributions in support of the Grain and Oilseed Payment program","Contributions à l'appui du programme de paiements relatifs aux céréales et oléagineux",0,0,0,0,0,-15000
