"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"ACOA","NU",0,0,0,0,0
"ACOA","NT",0,0,0,0,0
"ACOA","YT",0,0,0,0,0
"ACOA","BC",0,0,0,0,0
"ACOA","AB",0,0,0,0,0
"ACOA","SK",0,0,0,0,0
"ACOA","MB",1,0,1,0,0
"ACOA","NCR ON",33,28,33,28,26
"ACOA","NCR QC",0,0,0,0,0
"ACOA","ON (minus NCR)",0,0,0,0,0
"ACOA","QC (minus NCR)",0,0,0,0,0
"ACOA","NB",399,361,399,361,312
"ACOA","NS",122,115,122,115,99
"ACOA","PE",71,57,71,57,53
"ACOA","NL",125,114,125,114,100
"ACOA","Abroad",3,2,3,2,0
"AECB","NU",0,0,0,0,0
"AECB","NT",0,0,0,0,0
"AECB","YT",0,0,0,0,0
"AECB","BC",0,0,0,0,0
"AECB","AB",10,9,10,9,10
"AECB","SK",13,14,13,14,12
"AECB","MB",0,0,0,0,0
"AECB","NCR ON",795,790,795,790,785
"AECB","NCR QC",1,1,1,1,1
"AECB","ON (minus NCR)",36,34,36,34,31
"AECB","QC (minus NCR)",12,11,12,11,11
"AECB","NB",4,4,4,4,5
"AECB","NS",0,0,0,0,0
"AECB","PE",0,0,0,0,0
"AECB","NL",0,0,0,0,0
"AECB","Abroad",1,1,1,1,1
"AGR","NU",1,1,1,1,1
"AGR","NT",0,1,0,1,0
"AGR","YT",2,2,2,2,1
"AGR","BC",292,274,292,274,254
"AGR","AB",539,526,539,526,494
"AGR","SK",981,915,981,915,813
"AGR","MB",992,916,992,916,843
"AGR","NCR ON",2567,2503,2567,2503,2190
"AGR","NCR QC",1,2,1,2,0
"AGR","ON (minus NCR)",450,419,450,419,401
"AGR","QC (minus NCR)",673,650,673,650,596
"AGR","NB",169,156,169,156,145
"AGR","NS",145,147,145,147,135
"AGR","PE",98,90,98,90,80
"AGR","NL",45,39,45,39,36
"AGR","Abroad",3,3,3,3,2
"AHRAC","NU",0,0,0,0,0
"AHRAC","NT",0,0,0,0,0
"AHRAC","YT",0,0,0,0,0
"AHRAC","BC",6,4,6,4,0
"AHRAC","AB",0,0,0,0,0
"AHRAC","SK",0,0,0,0,0
"AHRAC","MB",0,0,0,0,0
"AHRAC","NCR ON",11,10,11,10,0
"AHRAC","NCR QC",0,0,0,0,0
"AHRAC","ON (minus NCR)",0,0,0,0,0
"AHRAC","QC (minus NCR)",0,0,0,0,0
"AHRAC","NB",0,0,0,0,0
"AHRAC","NS",0,0,0,0,0
"AHRAC","PE",0,0,0,0,0
"AHRAC","NL",0,0,0,0,0
"AHRAC","Abroad",0,0,0,0,0
"APPRT","NU",0,0,0,0,0
"APPRT","NT",0,0,0,0,0
"APPRT","YT",0,0,0,0,0
"APPRT","BC",1,1,1,1,0
"APPRT","AB",0,0,0,0,0
"APPRT","SK",0,0,0,0,0
"APPRT","MB",0,0,0,0,0
"APPRT","NCR ON",10,9,10,9,3
"APPRT","NCR QC",0,0,0,0,0
"APPRT","ON (minus NCR)",0,0,0,0,0
"APPRT","QC (minus NCR)",0,0,0,0,0
"APPRT","NB",0,0,0,0,0
"APPRT","NS",0,0,0,0,0
"APPRT","PE",0,0,0,0,0
"APPRT","NL",0,0,0,0,0
"APPRT","Abroad",0,0,0,0,0
"CAS","NU",0,0,0,0,0
"CAS","NT",0,0,0,0,0
"CAS","YT",0,0,0,0,0
"CAS","BC",32,37,32,37,31
"CAS","AB",13,10,13,10,11
"CAS","SK",0,0,0,0,0
"CAS","MB",6,6,6,6,5
"CAS","NCR ON",445,469,445,469,445
"CAS","NCR QC",4,4,4,4,3
"CAS","ON (minus NCR)",70,68,70,68,67
"CAS","QC (minus NCR)",54,61,54,61,56
"CAS","NB",3,2,3,2,2
"CAS","NS",3,3,3,3,3
"CAS","PE",0,0,0,0,0
"CAS","NL",0,0,0,0,0
"CAS","Abroad",0,0,0,0,0
"CAT","NU",0,0,0,0,0
"CAT","NT",0,0,0,0,0
