"DeptCodeDW","Age Band","2010-11","2011-12","2010-11","2011-12","2012-13"
"ACOA","< 20",4,0,4,0,0
"ACOA","20-24",35,23,35,23,9
"ACOA","25-29",53,40,53,40,27
"ACOA","30-34",86,68,86,68,51
"ACOA","35-39",107,100,107,100,107
"ACOA","40-44",126,117,126,117,103
"ACOA","45-49",124,133,124,133,118
"ACOA","50-54",109,105,109,105,102
"ACOA","55-59",85,72,85,72,59
"ACOA","60-64",21,16,21,16,12
"ACOA","65-69",4,2,4,2,2
"ACOA","70 +",0,1,0,1,0
"ACOA","Missing",0,0,0,0,0
"AECB","< 20",0,0,0,0,0
"AECB","20-24",24,23,24,23,15
"AECB","25-29",68,62,68,62,62
"AECB","30-34",77,70,77,70,76
"AECB","35-39",107,105,107,105,108
"AECB","40-44",123,121,123,121,118
"AECB","45-49",151,146,151,146,136
"AECB","50-54",151,154,151,154,149
"AECB","55-59",95,108,95,108,116
"AECB","60-64",56,58,56,58,55
"AECB","65-69",18,12,18,12,17
"AECB","70 +",2,5,2,5,4
"AECB","Missing",0,0,0,0,0
"AGR","< 20",41,44,41,44,37
"AGR","20-24",494,406,494,406,380
"AGR","25-29",543,478,543,478,402
"AGR","30-34",676,626,676,626,539
"AGR","35-39",776,755,776,755,694
"AGR","40-44",807,782,807,782,739
"AGR","45-49",1045,1004,1045,1004,870
"AGR","50-54",1219,1154,1219,1154,1030
"AGR","55-59",868,906,868,906,838
"AGR","60-64",361,353,361,353,331
"AGR","65-69",92,104,92,104,98
"AGR","70 +",36,32,36,32,33
"AGR","Missing",0,0,0,0,0
"AHRAC","< 20",0,0,0,0,0
"AHRAC","20-24",1,0,1,0,0
"AHRAC","25-29",4,1,4,1,0
"AHRAC","30-34",2,2,2,2,0
"AHRAC","35-39",1,0,1,0,0
"AHRAC","40-44",2,3,2,3,0
"AHRAC","45-49",1,2,1,2,0
"AHRAC","50-54",1,1,1,1,0
"AHRAC","55-59",1,1,1,1,0
"AHRAC","60-64",1,1,1,1,0
"AHRAC","65-69",2,3,2,3,0
"AHRAC","70 +",1,0,1,0,0
"AHRAC","Missing",0,0,0,0,0
"APPRT","< 20",0,0,0,0,0
"APPRT","20-24",0,0,0,0,0
"APPRT","25-29",1,1,1,1,1
"APPRT","30-34",1,0,1,0,0
"APPRT","35-39",0,1,0,1,1
"APPRT","40-44",2,2,2,2,0
"APPRT","45-49",1,1,1,1,0
"APPRT","50-54",1,1,1,1,0
"APPRT","55-59",4,3,4,3,1
"APPRT","60-64",1,0,1,0,0
"APPRT","65-69",0,1,0,1,0
"APPRT","Missing",0,0,0,0,0
"CAS","< 20",3,3,3,3,1
"CAS","20-24",37,32,37,32,21
"CAS","25-29",87,96,87,96,99
"CAS","30-34",65,70,65,70,52
"CAS","35-39",59,71,59,71,72
"CAS","40-44",88,80,88,80,76
"CAS","45-49",101,110,101,110,103
"CAS","50-54",102,95,102,95,92
"CAS","55-59",55,65,55,65,71
"CAS","60-64",29,34,29,34,31
"CAS","65-69",4,3,4,3,3
"CAS","70 +",0,1,0,1,2
"CAS","Missing",0,0,0,0,0
"CAT","< 20",0,0,0,0,0
"CAT","20-24",0,0,0,0,0
"CAT","25-29",0,3,0,3,2
"CAT","30-34",0,1,0,1,1
"CAT","35-39",0,1,0,1,1
"CAT","40-44",0,0,0,0,0
"CAT","45-49",2,2,2,2,1
"CAT","50-54",1,0,1,0,1
"CAT","55-59",4,2,4,2,2
"CAT","60-64",2,1,2,1,1
"CAT","65-69",0,0,0,0,0
"CAT","Missing",0,0,0,0,0
"CB","< 20",0,0,0,0,0
"CB","20-24",0,0,0,0,0
"CB","25-29",2,2,2,2,2
"CB","30-34",1,0,1,0,2
"CB","35-39",2,2,2,2,3
"CB","40-44",2,4,2,4,4
"CB","45-49",1,1,1,1,0
"CB","50-54",1,0,1,0,1
"CB","55-59",3,4,3,4,3
"CB","60-64",1,1,1,1,0
"CB","65-69",0,0,0,0,0
"CB","Missing",0,0,0,0,0
"CBSA","< 20",12,17,12,17,14
"CBSA","20-24",637,605,637,605,454
"CBSA","25-29",1982,1851,1982,1851,1532
"CBSA","30-34",2237,2350,2237,2350,2370
"CBSA","35-39",1947,2138,1947,2138,2217
"CBSA","40-44",1934,1951,1934,1951,1999
"CBSA","45-49",2066,2128,2066,2128,2047
"CBSA","50-54",1927,1955,1927,1955,1946
