"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"ACOA",1,50735000,14616000,45773000,55211000,16642000,48156000
"ACOA",2,9782000,692000,1742000,7871000,949000,2250000
"ACOA",3,1299000,75000,204000,1453000,80000,203000
"ACOA",4,15034000,1536000,4183000,19148000,1758000,4474000
"ACOA",5,536000,396000,1003000,1889000,343000,1091000
"ACOA",6,440000,28000,212000,639000,23000,186000
"ACOA",7,932000,85000,182000,677000,69000,154000
"ACOA",9,2642000,192000,378000,681000,-87000,433000
"ACOA",10,231352000,44544000,109916000,240751000,49297000,109983000
"ACOA",12,85000,-645000,-759000,72000,-931000,-1570000
"AECB",1,99509000,23770000,76771000,91693000,22009000,65092000
"AECB",2,6693000,1547000,3554000,6729000,1371000,3224000
"AECB",3,1146000,236000,624000,1160000,303000,663000
"AECB",4,18221000,5821000,10836000,15830000,3137000,7919000
"AECB",5,4289000,802000,3063000,3755000,699000,2758000
"AECB",6,3107000,153000,378000,4033000,315000,492000
"AECB",7,1315000,163000,432000,1378000,190000,515000
"AECB",8,0,0,0,0,0,0
"AECB",9,3447000,514000,1070000,3631000,215000,438000
"AECB",10,1770000,619000,975000,1513000,307000,714000
"AECB",12,173000,-18000,33000,152000,26000,92000
"AGR",1,553771000,134170000,423226000,558204000,134497000,417327000
"AGR",2,25982000,3301000,8844000,37209000,3466000,10014000
"AGR",3,9114000,1407000,3000000,7395000,2169000,3984000
"AGR",4,136574000,29844000,65571000,155392000,29077000,66840000
"AGR",5,5276000,946000,2226000,5857000,1063000,2568000
"AGR",6,30278000,2981000,8499000,37865000,3641000,11276000
"AGR",7,59515000,9301000,21868000,57340000,9015000,23445000
"AGR",8,5809000,1035000,2377000,5177000,75000,875000
"AGR",9,29039000,3598000,9814000,26918000,4195000,9117000
"AGR",10,1713871000,401928000,704860000,2016014000,337634000,521708000
"AGR",12,14238000,2951000,7442000,13598000,6045000,10492000
"AGR",20,-66271000,-21553000,-42397000,-70241000,-25640000,-47035000
