"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"AGR","1",1,"Dépenses de fonctionnement","Operating expenditures","778,798,330","712,478,274","756,690,489","704,941,276","778,798,330","712,478,274","756,690,489","704,941,276","737,219,100","669,912,504"
"AGR","5",2,"Dépenses en capital","Capital expenditures","57,859,744","51,859,188","34,150,756","28,848,626","57,859,744","51,859,188","34,150,756","28,848,626","34,881,956","27,722,021"
"AGR","10",3,"Subventions et contributions","Grants and contributions","577,775,977","411,653,229","459,143,202","359,941,850","577,775,977","411,653,229","459,143,202","359,941,850","632,128,947","512,905,333"
"AGR",15,9,"Aux termes de l’article 29 de la Loi sur la gestion des finances publiques, autorisation au ministre de l’Agricultures de l’Agroalimentaire, au nom de Sa Majesté du chef du Canada et conformément aux conditions approuvées par le ministre des Finances, de garantir le paiement des montants ne dépassant pas en totalité et en tout temps la somme de 140 000 000 $ payable à l’égard des Accords de ligne de crédit à être engagés par Financement agricole Canada pour les besoins du Programme national renouvelé (2003) sur l’éthanol","Pursuant to section 29 of the Financial Administration Act, to authorize the Minister of Agriculture and Agri-Food, on behalf of Her Majesty in right of Canada, in accordance with terms and conditions approved by the Minister of Finance, to guarantee payments of amounts not exceeding, at any time, in aggregate, the sum of $140,000,000 payable in respect of Line of Credit Agreements to be entered into by the Farm Credit Canada for the purpose of the renewed (2003) National Biomass Ethanol Program",1,0,0,0,1,0,0,0,0,0
"AGR",20,1,"Agence canadienne du pari mutuel - Dépenses du programme","Canadian Pari-Mutuel Agency - Program expenditures","345,000","178,458",0,0,"345,000","178,458",0,0,0,0
"AGR","(S)",999,"Ministre de l'Agriculture et de l'Agroalimentaire et ministre de la Commission canadienne du blé-Traitement et allocation pour automobile","Minister of Agriculture and Agri-Food and Minister for the Canadian Wheat Board-Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"AGR","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","4,879","4,879","8,359","8,359","4,879","4,879","8,359","8,359","46,309","46,309"
"AGR","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees",274,274,0,0,274,274,0,0,0,0
"AGR","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","4,870,099","3,948,399","5,621,093","3,443,918","4,870,099","3,948,399","5,621,093","3,443,918","6,592,253","3,651,625"
"AGR","(S)",999,"Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié","Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","-1,060,707","-1,060,707","-6,139,593","-6,139,593","-1,060,707","-1,060,707","-6,139,593","-6,139,593","-4,771,735","-4,771,735"
