"Organizations",,"Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2012-13"
"AGR",1,"569,794,803","582,717,800","569,794,803","582,717,800","575,027,757"
"AGR",2,"31,164,699","22,928,246","31,164,699","22,928,246","14,572,993"
"AGR",3,"6,151,603","7,805,108","6,151,603","7,805,108","7,799,744"
"AGR",4,"131,752,496","118,263,358","131,752,496","118,263,358","122,656,838"
"AGR",5,"5,070,619","4,654,612","5,070,619","4,654,612","4,923,752"
"AGR",6,"31,507,430","25,932,357","31,507,430","25,932,357","19,317,223"
"AGR",7,"42,969,692","44,304,466","42,969,692","44,304,466","41,069,681"
"AGR",8,"10,120,416","8,513,195","10,120,416","8,513,195","6,283,095"
"AGR",9,"52,602,647","42,584,007","52,602,647","42,584,007","37,447,699"
"AGR",10,"1,823,572,904","1,739,822,503","1,823,572,904","1,739,822,503","1,900,532,062"
"AGR",12,"11,287,368","12,178,156","11,287,368","12,178,156","-666,419"
"AGR",21,"-41,222,437","-44,624,760","-41,222,437","-44,624,760","-47,405,338"
"AGR",22,-10,"-7,424,424",-10,"-7,424,424",-10
"AHRAC",1,"2,955,854","1,834,066","2,955,854","1,834,066","896,250"
"AHRAC",2,"400,639","222,966","400,639","222,966","98,098"
"AHRAC",3,"39,785","54,343","39,785","54,343","14,012"
"AHRAC",4,"1,635,097","1,218,578","1,635,097","1,218,578","457,396"
"AHRAC",5,"35,266","117,506","35,266","117,506","12,351"
"AHRAC",6,"7,108","1,638","7,108","1,638",355
"AHRAC",7,"38,374","12,435","38,374","12,435","5,225"
"AHRAC",9,"63,621","1,565","63,621","1,565",81
"AHRAC",12,42,741,42,741,-225
"ACOA",1,"70,127,073","75,360,865","70,127,073","75,360,865","68,346,858"
"ACOA",2,"6,492,513","4,452,610","6,492,513","4,452,610","3,081,268"
"ACOA",3,"716,397","475,203","716,397","475,203","360,218"
"ACOA",4,"12,270,803","10,211,494","12,270,803","10,211,494","8,212,033"
"ACOA",5,"2,209,644","2,070,385","2,209,644","2,070,385","2,096,340"
"ACOA",6,"768,763","211,807","768,763","211,807","308,967"
"ACOA",7,"563,939","419,129","563,939","419,129","325,031"
"ACOA",9,"2,177,855","1,466,961","2,177,855","1,466,961","685,552"
"ACOA",10,"313,825,963","236,470,120","313,825,963","236,470,120","233,185,297"
"ACOA",12,"-693,992","-684,793","-693,992","-684,793","-939,617"
"AECL",4,0,0,0,0,0
"AECL",12,"771,452,000","719,031,083","771,452,000","719,031,083","551,843,000"
"OAG",1,"72,582,632","78,158,013","72,582,632","78,158,013","77,307,554"
"OAG",2,"4,292,281","4,071,309","4,292,281","4,071,309","3,748,928"
"OAG",3,"523,770","485,106","523,770","485,106","621,736"
"OAG",4,"6,396,136","5,441,393","6,396,136","5,441,393","4,949,481"
"OAG",5,"285,945","347,041","285,945","347,041","1,074,654"
"OAG",6,"1,187,478","938,611","1,187,478","938,611","189,458"
"OAG",7,"570,754","549,031","570,754","549,031","321,992"
"OAG",9,"918,635","665,937","918,635","665,937","814,423"
"OAG",12,"1,683","2,034","1,683","2,034","-1,497"
"OAG",21,"-92,642","-846,556","-92,642","-846,556","-816,958"
"CBSA",1,"1,254,093,932","1,344,065,146","1,254,093,932","1,344,065,146","1,326,924,790"
"CBSA",2,"56,087,847","60,697,076","56,087,847","60,697,076","50,601,296"
"CBSA",3,"1,373,687","1,282,852","1,373,687","1,282,852","1,337,948"
"CBSA",4,"275,568,249","265,152,070","275,568,249","265,152,070","210,994,659"
"CBSA",5,"7,664,452","8,691,206","7,664,452","8,691,206","9,301,569"
"CBSA",6,"20,855,306","24,086,041","20,855,306","24,086,041","21,855,401"
"CBSA",7,"17,149,143","20,006,160","17,149,143","20,006,160","18,586,593"
"CBSA",8,"31,049,899","91,436,129","31,049,899","91,436,129","33,639,809"
"CBSA",9,"20,878,536","23,851,210","20,878,536","23,851,210","34,393,467"
"CBSA",12,"23,470,484","8,159,990","23,470,484","8,159,990","14,824,429"
"CBSA",21,"-12,639,418","-12,130,931","-12,639,418","-12,130,931","-15,103,954"
"CC",12,"181,637,816","181,417,816","181,637,816","181,417,816","181,367,816"
"CIRB",1,"10,996,834","11,070,869","10,996,834","11,070,869","10,340,097"
"CIRB",2,"908,379","933,445","908,379","933,445","704,551"
"CIRB",3,"15,564","16,225","15,564","16,225","30,551"
"CIRB",4,"733,384","801,610","733,384","801,610","755,273"
"CIRB",5,"145,837","160,807","145,837","160,807","172,266"
"CIRB",6,"116,653","111,668","116,653","111,668","94,786"
"CIRB",7,"178,883","166,897","178,883","166,897","165,507"
"CIRB",9,"163,954","374,608","163,954","374,608","455,413"
"CIRB",12,"27,910","62,797","27,910","62,797","67,672"
"CMHC",12,"2,963,435,984","2,048,258,589","2,963,435,984","2,048,258,589","2,086,397,954"
"CPC",12,"22,210,000","22,210,000","22,210,000","22,210,000","22,210,000"
"CCRA",1,"3,164,944,880","3,189,922,613","3,164,944,880","3,189,922,613","3,347,811,114"
"CCRA",2,"199,406,456","161,754,045","199,406,456","161,754,045","124,945,581"
"CCRA",3,"10,865,483","8,932,451","10,865,483","8,932,451","8,865,539"
"CCRA",4,"347,557,870","332,570,281","347,557,870","332,570,281","348,088,284"
"CCRA",5,"285,311,284","298,437,202","285,311,284","298,437,202","307,363,825"
"CCRA",6,"148,941,547","119,871,959","148,941,547","119,871,959","77,486,621"
"CCRA",7,"30,942,276","26,629,900","30,942,276","26,629,900","24,142,782"
"CCRA",9,"87,797,867","85,448,406","87,797,867","85,448,406","32,812,782"
"CCRA",10,"446,134,606","439,829,226","446,134,606","439,829,226","374,921,462"
"CCRA",12,"3,638,667","3,079,254","3,638,667","3,079,254","2,321,131"
"CCRA",21,"-135,688,294","-138,828,676","-135,688,294","-138,828,676","-147,718,437"
"CCRA",22,"-171,286,639","-176,355,034","-171,286,639","-176,355,034","-182,572,539"
"CCMD",1,"82,924,244","87,564,834","82,924,244","87,564,834","69,683,772"
"CCMD",2,"4,143,095","3,209,220","4,143,095","3,209,220","1,960,619"
"CCMD",3,"1,038,401","885,344","1,038,401","885,344","846,432"
"CCMD",4,"33,171,123","27,085,101","33,171,123","27,085,101","20,934,910"
"CCMD",5,"4,377,030","2,513,962","4,377,030","2,513,962","2,026,923"
"CCMD",6,"195,417","958,333","195,417","958,333","84,670"
"CCMD",7,"1,446,998","1,181,488","1,446,998","1,181,488","642,086"
"CCMD",9,"946,428","1,203,867","946,428","1,203,867","975,419"
"CCMD",10,"254,131","169,838","254,131","169,838",0
"CCMD",12,"137,394","1,168,839","137,394","1,168,839","110,397"
"CATSA",12,"573,146,000","515,006,000","573,146,000","515,006,000","513,369,000"
"APPRT",1,"824,013","907,189","824,013","907,189","1,001,800"
"APPRT",2,"59,635","54,589","59,635","54,589","39,265"
"APPRT",3,"33,179","17,517","33,179","17,517","11,329"
"APPRT",4,"237,145","260,811","237,145","260,811","158,931"
"APPRT",5,"9,463","4,449","9,463","4,449","10,783"
"APPRT",6,0,0,0,0,625
"APPRT",7,"17,255","18,242","17,255","18,242","12,489"
"APPRT",9,"19,436","6,110","19,436","6,110",0
"APPRT",12,0,"14,287",0,"14,287","278,168"
"CBC",12,"1,137,145,060","1,134,319,060","1,137,145,060","1,134,319,060","1,106,519,060"
"CCOHS",1,"7,682,590","7,755,349","7,682,590","7,755,349","8,022,498"
"CCOHS",2,"128,098","147,558","128,098","147,558","138,957"
"CCOHS",3,"107,288","87,372","107,288","87,372","72,890"
"CCOHS",4,"982,729","961,789","982,729","961,789","965,629"
"CCOHS",5,"35,087","31,146","35,087","31,146","48,617"
"CCOHS",6,"123,152","157,626","123,152","157,626","110,133"
"CCOHS",7,"80,599","82,991","80,599","82,991","42,593"
"CCOHS",9,"49,352","79,874","49,352","79,874","86,655"
"CCOHS",21,"-3,257,564","-3,640,990","-3,257,564","-3,640,990","-3,514,440"
"CCOHS",22,"-493,526","-372,391","-493,526","-372,391","-516,216"
"CCC",12,"15,481,541","15,481,540","15,481,541","15,481,540","15,481,540"
"CDC",1,"5,738,599","6,142,748","5,738,599","6,142,748",0
"CDC",2,"414,473","407,972","414,473","407,972",0
"CDC",3,"57,371","53,763","57,371","53,763",0
"CDC",4,"1,120,461","1,256,206","1,120,461","1,256,206",0
"CDC",5,"355,566","348,646","355,566","348,646",0
"CDC",6,"72,709","68,806","72,709","68,806",0
"CDC",7,"23,675","19,500","23,675","19,500",0
"CDC",9,"82,231","50,177","82,231","50,177",0
"CDC",12,"-3,718,001","-3,868,296","-3,718,001","-3,868,296","4,086,096"
"CEAA",1,"22,123,310","23,897,377","22,123,310","23,897,377","21,297,723"
"CEAA",2,"1,663,708","1,367,141","1,663,708","1,367,141","1,271,129"
"CEAA",3,"275,188","386,269","275,188","386,269","324,382"
"CEAA",4,"5,011,975","3,787,563","5,011,975","3,787,563","4,733,179"
"CEAA",5,"476,016","334,037","476,016","334,037","315,671"
"CEAA",6,"9,363","39,540","9,363","39,540","2,603"
"CEAA",7,"118,148","78,799","118,148","78,799","153,777"
"CEAA",9,"410,029","308,575","410,029","308,575","414,133"
"CEAA",10,"1,934,294","3,062,703","1,934,294","3,062,703","2,239,168"
"CEAA",12,"5,365","16,495","5,365","16,495",474
"CEAA",21,"-2,574,400","-3,392,025","-2,574,400","-3,392,025","-2,446,453"
"CEAA",22,"-418,867","-327,985","-418,867","-327,985","-356,960"
"CFIA",1,"574,215,212","583,997,377","574,215,212","583,997,377","575,899,910"
"CFIA",2,"32,382,023","25,047,110","32,382,023","25,047,110","19,745,835"
"CFIA",3,"1,806,177","1,425,061","1,806,177","1,425,061","1,871,352"
"CFIA",4,"76,422,539","62,239,989","76,422,539","62,239,989","75,772,401"
"CFIA",5,"9,009,172","7,795,546","9,009,172","7,795,546","10,073,308"
"CFIA",6,"27,507,184","16,691,780","27,507,184","16,691,780","12,503,701"
"CFIA",7,"18,117,499","17,512,897","18,117,499","17,512,897","18,655,349"
"CFIA",9,"27,573,482","14,011,865","27,573,482","14,011,865","24,114,929"
"CFIA",10,"5,174,419","5,402,313","5,174,419","5,402,313","40,561,711"
"CFIA",12,"3,825,224","3,572,418","3,825,224","3,572,418","2,857,229"
"CFIA",21,"-53,962,051",0,"-53,962,051",0,0
"CFIA",22,"-280,260",0,"-280,260",0,0
"CFGB",1,"3,968,532","4,519,827","3,968,532","4,519,827","4,070,843"
"CFGB",2,"156,420","206,896","156,420","206,896","85,637"
"CFGB",3,"19,885","27,843","19,885","27,843","55,811"
"CFGB",4,"598,202","877,176","598,202","877,176","794,046"
"CFGB",5,"623,239","599,153","623,239","599,153","605,105"
"CFGB",6,"12,167","33,634","12,167","33,634","23,065"
"CFGB",7,"26,025","25,267","26,025","25,267","15,828"
"CFGB",9,"121,928","107,211","121,928","107,211","199,193"
"CFGB",12,3,4,3,4,708
"CGC",1,"62,528,468","65,987,963","62,528,468","65,987,963","63,858,616"
"CGC",2,"4,322,302","4,258,855","4,322,302","4,258,855","3,797,699"
"CGC",3,"301,295","218,028","301,295","218,028","234,756"
"CGC",4,"2,329,538","2,131,180","2,329,538","2,131,180","2,668,504"
"CGC",5,"4,002,614","4,183,752","4,002,614","4,183,752","5,209,983"
"CGC",6,"1,237,001","1,321,868","1,237,001","1,321,868","1,345,873"
"CGC",7,"918,400","951,660","918,400","951,660","755,519"
"CGC",9,"2,915,900","2,853,953","2,915,900","2,853,953","4,501,178"
"CGC",12,"15,301","-13,139","15,301","-13,139",131
"CGC",21,"-45,245,184","-47,074,107","-45,245,184","-47,074,107","-45,238,012"
"CH",1,"191,724,760","197,518,813","191,724,760","197,518,813","177,549,253"
"CH",2,"9,895,639","5,683,450","9,895,639","5,683,450","2,815,120"
"CH",3,"10,161,603","9,533,525","10,161,603","9,533,525","8,081,138"
"CH",4,"27,670,546","21,116,268","27,670,546","21,116,268","15,917,366"
"CH",5,"2,534,581","1,674,384","2,534,581","1,674,384","2,335,090"
"CH",6,"2,774,210","1,492,051","2,774,210","1,492,051","940,282"
"CH",7,"3,569,176","2,412,800","3,569,176","2,412,800","1,860,856"
"CH",9,"4,542,034","1,991,267","4,542,034","1,991,267","439,125"
"CH",10,"1,063,923,783","1,072,931,013","1,063,923,783","1,072,931,013","1,042,866,950"
"CH",12,"806,073","558,767","806,073","558,767","1,025,948"
"CH",21,"-3,852,464","-4,428,704","-3,852,464","-4,428,704","-4,424,419"
"CH",22,"-118,088","-1,991,731","-118,088","-1,991,731","-1,979,156"
"CHRC",1,"18,988,240","20,597,815","18,988,240","20,597,815","20,978,388"
"CHRC",2,"1,059,379","1,108,257","1,059,379","1,108,257","908,423"
"CHRC",3,"225,187","216,536","225,187","216,536","288,974"
"CHRC",4,"2,857,122","2,412,730","2,857,122","2,412,730","2,216,421"
"CHRC",5,"235,925","220,001","235,925","220,001","203,746"
"CHRC",6,"155,702","129,198","155,702","129,198","35,244"
"CHRC",7,"157,325","160,470","157,325","160,470","142,590"
"CHRC",8,343,"7,695",343,"7,695","6,455"
"CHRC",9,"215,873","286,822","215,873","286,822","634,791"
"CHRC",12,"-827,666","-204,614","-827,666","-204,614","-1,031,856"
"CHRC",22,0,"-672,587",0,"-672,587",0
"CHRT",1,"2,282,850","2,483,640","2,282,850","2,483,640","2,608,953"
"CHRT",2,"330,117","295,064","330,117","295,064","217,449"
"CHRT",3,"92,105","31,815","92,105","31,815","61,352"
"CHRT",4,"1,518,342","1,965,155","1,518,342","1,965,155","1,202,660"
"CHRT",5,"45,271","43,841","45,271","43,841","57,265"
"CHRT",6,"66,232","46,932","66,232","46,932","30,952"
"CHRT",7,"39,960","36,039","39,960","36,039","20,545"
"CHRT",9,"61,528","62,123","61,528","62,123","20,432"
"CHRT",12,122,"275,185",122,"275,185",0
"CIHR",1,"44,758,644","48,110,337","44,758,644","48,110,337","44,923,513"
"CIHR",2,"4,181,195","3,929,192","4,181,195","3,929,192","3,796,352"
"CIHR",3,"1,190,923","1,058,381","1,190,923","1,058,381","1,116,977"
"CIHR",4,"6,750,511","3,583,153","6,750,511","3,583,153","3,617,714"
"CIHR",5,"421,676","367,739","421,676","367,739","1,009,484"
"CIHR",6,"447,771","699,829","447,771","699,829","112,397"
"CIHR",7,"497,610","276,716","497,610","276,716","305,958"
"CIHR",9,"1,675,707","315,600","1,675,707","315,600","956,314"
"CIHR",10,"966,828,661","950,729,984","966,828,661","950,729,984","940,773,074"
"CIHR",12,"118,579","20,461","118,579","20,461","440,958"
"CICS",1,"2,872,161","2,947,415","2,872,161","2,947,415","2,839,208"
"CICS",2,"622,371","712,049","622,371","712,049","601,716"
"CICS",3,"36,644","71,504","36,644","71,504","36,683"
"CICS",4,"1,037,927","1,137,596","1,037,927","1,137,596","1,016,106"
"CICS",5,"421,594","406,780","421,594","406,780","433,522"
"CICS",6,"40,437","18,590","40,437","18,590","22,687"
"CICS",7,"35,936","34,557","35,936","34,557","24,241"
"CICS",9,"194,348","231,657","194,348","231,657","180,869"
"CICS",12,"1,889",464,"1,889",464,447
"CIDA",1,"190,676,675","201,011,630","190,676,675","201,011,630","192,092,704"
"CIDA",2,"13,033,845","9,570,734","13,033,845","9,570,734","6,972,328"
"CIDA",3,"279,118","245,233","279,118","245,233","71,330"
"CIDA",4,"27,735,530","20,458,767","27,735,530","20,458,767","15,081,478"
"CIDA",5,"2,796,149","2,411,462","2,796,149","2,411,462","2,367,712"
"CIDA",6,"5,012,597","2,802,334","5,012,597","2,802,334","2,935,090"
"CIDA",7,"1,279,815","979,920","1,279,815","979,920","861,286"
"CIDA",9,"3,154,657","822,533","3,154,657","822,533","546,690"
"CIDA",10,"3,313,220,194","3,587,096,667","3,313,220,194","3,587,096,667","3,132,702,193"
"CIDA",12,"81,527,416","101,864,267","81,527,416","101,864,267","55,926,624"
"CITT",1,"9,147,526","8,983,873","9,147,526","8,983,873","8,701,015"
"CITT",2,"232,436","238,309","232,436","238,309","204,096"
"CITT",3,"46,138","64,810","46,138","64,810","32,621"
"CITT",4,"819,757","644,605","819,757","644,605","553,755"
"CITT",5,"42,028","30,962","42,028","30,962","124,452"
"CITT",6,"222,371","281,918","222,371","281,918","1,122,192"
"CITT",7,"89,609","77,579","89,609","77,579","74,560"
"CITT",9,"322,249","206,851","322,249","206,851","690,608"
"CITT",12,113,0,113,0,"-1,971"
"CMHR",12,"56,072,657","21,798,633","56,072,657","21,798,633","56,935,796"
"CMC",12,"71,218,048","65,198,130","71,218,048","65,198,130","64,364,831"
"CMI",12,"4,576,085","13,824,600","4,576,085","13,824,600","9,976,473"
"CMN",12,"33,281,985","28,591,766","33,281,985","28,591,766","34,370,062"
"CNEDA",1,"10,965,865","9,841,472","10,965,865","9,841,472","9,556,823"
"CNEDA",2,"1,830,338","1,447,261","1,830,338","1,447,261","1,250,516"
"CNEDA",3,"136,472","39,138","136,472","39,138","85,682"
"CNEDA",4,"2,887,549","1,171,206","2,887,549","1,171,206","1,756,764"
"CNEDA",5,"1,437,972","1,219,524","1,437,972","1,219,524","1,148,010"
"CNEDA",6,"862,341","7,254","862,341","7,254","1,453"
"CNEDA",7,"118,885","48,684","118,885","48,684","158,378"
"CNEDA",9,"303,127","89,817","303,127","89,817","61,485"
"CNEDA",10,"45,703,618","31,992,730","45,703,618","31,992,730","38,365,705"
"CNEDA",12,"14,385","2,742,605","14,385","2,742,605","3,794"
"AECB",1,"98,504,055","101,364,843","98,504,055","101,364,843","104,384,624"
"AECB",2,"5,546,589","5,439,426","5,546,589","5,439,426","4,760,811"
"AECB",3,"1,214,795","852,083","1,214,795","852,083","1,110,937"
"AECB",4,"14,924,145","15,933,365","14,924,145","15,933,365","17,431,435"
"AECB",5,"2,111,471","3,132,758","2,111,471","3,132,758","4,240,553"
"AECB",6,"6,974,701","2,516,332","6,974,701","2,516,332","2,097,734"
"AECB",7,"1,155,312","1,071,780","1,155,312","1,071,780","802,991"
"AECB",8,0,0,0,0,0
"AECB",9,"5,120,538","4,443,782","5,120,538","4,443,782","3,417,701"
"AECB",10,"694,752","1,163,015","694,752","1,163,015","1,451,582"
"AECB",12,"-7,770","151,780","-7,770","151,780",786
"CPCC",1,"521,810","835,068","521,810","835,068","763,088"
"CPCC",2,"143,253","70,851","143,253","70,851","191,016"
"CPCC",3,"32,163","35,075","32,163","35,075","35,189"
"CPCC",4,"186,036","171,774","186,036","171,774","164,031"
"CPCC",5,"104,855","120,858","104,855","120,858","132,258"
"CPCC",6,85,"1,396",85,"1,396",0
"CPCC",7,"3,978","5,323","3,978","5,323","9,404"
"CPCC",9,"13,133","11,707","13,133","11,707","12,749"
"CPCC",10,"10,000","10,000","10,000","10,000","10,000"
"CPCC",12,"1,333","1,157","1,333","1,157",0
"CRTC",1,"42,919,818","46,676,810","42,919,818","46,676,810","45,458,364"
"CRTC",2,"2,234,761","2,249,142","2,234,761","2,249,142","1,711,751"
"CRTC",3,"1,155,711","1,035,502","1,155,711","1,035,502","1,032,868"
"CRTC",4,"4,516,285","5,253,591","4,516,285","5,253,591","5,364,540"
"CRTC",5,"317,682","382,980","317,682","382,980","646,605"
"CRTC",6,"1,110,641","1,196,166","1,110,641","1,196,166","705,917"
"CRTC",7,"352,139","442,134","352,139","442,134","309,279"
"CRTC",9,"1,375,940","1,400,562","1,375,940","1,400,562","1,221,234"
"CRTC",12,"102,415",899,"102,415",899,"6,561"
