"Organizations","Program Activity"," Activités de Programme","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2012-13"
"AGR","Business Risk Management","Gestion des risques de l'entreprise","1,452,519,136","1,412,029,045","1,452,519,136","1,412,029,045","1,420,001,333"
"AGR","Canadian PariMutuel Agency","Agence canadienne du pari mutuel","1,001,215","-253,649","1,001,215","-253,649","-1,240,186"
"AGR","Food Safety and Biosecurity Risk Management Systems","Systèmes de gestion des risques liés à la salubrité et à la biosécurité des aliments","95,243,224","87,639,411","95,243,224","87,639,411","92,378,239"
"AGR","Trade and Market Development","Développement du commerce et des marchés","93,392,007","97,976,671","93,392,007","97,976,671","264,232,140"
"AGR","Farm Products Council of Canada  FPCC","Conseil des produits agricoles du Canada","2,815,727","3,063,148","2,815,727","3,063,148","2,998,099"
"AGR","Rural and Cooperatives Development","Développement des régions rurales et développement des coopératives","21,081,935","20,288,849","21,081,935","20,288,849","15,477,477"
"AGR","Environmental Knowledge, Technology, Information and Measurement","Connaissances, technologies, information et évaluation sur le plan environnemental","89,832,280","87,407,541","89,832,280","87,407,541","82,929,006"
"AGR","OnFarm Action","Mesures à la ferme","89,721,699","107,027,007","89,721,699","107,027,007","92,964,460"
"AGR","Regulatory Efficiency Facilitation","Facilitation de l'efficacité de la réglementation","12,098,349","12,552,879","12,098,349","12,552,879","11,720,760"
"AGR","Science, Innovation and Adoption","Sciences, innovation et adoption","360,276,256","265,992,311","360,276,256","265,992,311","303,174,048"
"AGR","Agri-Business Development","Développement de l'agro-entreprise","104,295,899","116,267,596","104,295,899","116,267,596","69,543,719"
"AGR","Internal Services","Services internes","352,494,503","347,663,816","352,494,503","347,663,816","327,379,980"
"AHRAC","Regulatory Compliance Program","Programme de conformité à la réglementation","798,126","707,881","798,126","707,881","529,611"
"AHRAC","Knowledge Transfer Program","Programme de transfert de connaissances","951,529","841,791","951,529","841,791","554,549"
"AHRAC","Internal Services","Services internes","3,426,131","1,914,166","3,426,131","1,914,166","399,382"
"ACOA","Enterprise Development","Développement des entreprises","190,976,830","172,970,427","190,976,830","172,970,427","179,856,451"
"ACOA","Community Development","Développement des collectivités","161,963,560","103,813,764","161,963,560","103,813,764","88,520,093"
"ACOA","Policy, Advocacy and Coordination","Politiques, défense des intérêts et coordination","13,678,240","13,646,372","13,678,240","13,646,372","12,403,955"
