"name","acronym","type","c_ttl_avl_use_amt","crnt_yr_used_amt","c_ttl_avl_use_amt","crnt_yr_used_amt","c_ttl_avl_use_amt","crnt_yr_used_amt",,,,,,
"AECB","Contribution","Contribution","Contributions for the provision of goods, expert assistance and other services to enable the delivery of the Canadian safeguards support program in support of the International Atomic Energy Agency (IAEA) regime","Contributions pour la fourniture de biens, services experts et autres services afin de permettre l'application du Programme canadien à l'appui des garanties, et portant assistance au régime de l'Agence internationale de l'énergie atomique (AIEA)",3995,3995,3995,3995,0,0,0,0,0,0
"AECB","Contribution","Contribution","Contributions to enable the research, development and management of activities that contribute to the objectives of the Research and support program","Des contributions pour faciliter la recherche, le développement et la gestion des activités qui contribuent à la réalisation des objectifs du Programme de recherche et de soutien",773316,773316,773316,773316,0,0,0,0,0,0
"AECB","Contribution","Contribution","Contributions to enable the research, development and management of activities that contribute to the objectives of the Research and support program, and the Canadian safegards support program","Des contributions pour faciliter la recherche, le développement et la gestion des activités qui contribuent à la réalisation des objectifs du Programme de recherche et de soutien, ainsi que le Programme canadien à l'appuie des garanties",0,0,0,0,770000,620123,1001763,1003463,1270980,1270980
"AECB","Grant","Subvention","Grants to enable the research, development and management of activities that contribute to the objectives of the Research and support program","Des subventions pour faciliter la recherche, le développement et la gestion des activités qui contribuent à la réalisation des objectifs du Programme de recherche et de soutien",70477,70477,70477,70477,75000,74629,75000,73300,75000,75000
"AECB","Contribution","Contribution","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AECB","Contribution","Contribution","Participant funding program","Programme d'aide financière aux participants",0,0,0,0,400000,0,925000,86252,925000,105602
"AGR","Grant","Subvention","Agricultural research in universities and other scientific organizations in Canada","Recherches agricoles dans les universités et dans d'autres organisations scientifiques au Canada",999000,423223,999000,423223,999000,0,999000,100462,299000,149890
"AGR","Contribution","Contribution","Contribution payments for New Opportunities for Agriculture initiatives","Contributions à l'appui des nouveaux débouchés pour l'agriculture",24909841,10251606,24909841,10251606,25389661,15100286,0,0,0,0
"AGR","Contribution","Contribution","Contribution payments for the Agricultural Bioproducts Innovation program","Contribution au Programme d'innovation pour les bioproduits agricoles",20676090,20502266,20676090,20502266,15709235,15709235,0,0,0,0
"AGR","Contribution","Contribution","Contribution payments for the Canadian Farm Families Options Program","Paiements de contribution pour le Programme canadien d'options pour les familles agricoles",1500038,0,1500038,0,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contribution payments for the Canadian Wheat Board Transition Costs program","Paiements de contributions pour le programme des coûts de transition de la Commission canadienne du blé",0,0,0,0,0,0,0,0,1500000,800000
"AGR","Contribution","Contribution","Contribution payments for the control of diseases in the hog industryCircovirus Initiative","Contributions à la lutte contre les maladies dans l'industrie porcineLe circovirus",7458927,3514926,7458927,3514926,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contribution payments for the control of diseases in the hog industry - Phase 2","Paiements de contributions pour la lutte contre les maladies dans l'industrie porcine - Phase 2",14931573,3958809,14931573,3958809,37851450,8923902,15400000,9227859,15072142,9609313
"AGR","Contribution","Contribution","Contribution payments for the ecoAgriculture Biofuels Capital Initiative","Contributions à l'Initiative pour un investissement écoagricole dans les biocarburants",49765000,1465250,49765000,1465250,36894070,33112908,18026894,0,47389500,7506592
"AGR","Contribution","Contribution","Contribution payments for the Plum Pox Eradication program","Paiements de contributions pour le programme d'éradication du virus de la sharka du prunier",8600000,8600000,8600000,8600000,8600000,8600000,0,0,0,0
"AGR","Contribution","Contribution","Contributions for rural and co-operatives development","Contributions pour le développement des coopératives et des régions rurales",4990904,4637711,4990904,4637711,7453000,5326466,9347389,6259173,4892000,4115371
"AGR","Contribution","Contribution","Contributions for the implementation of the Community Development Fund program to assist rural communities in the tobacco-growing regions of Ontario ","Contributions pour la mise en oeuvre du programme du Fonds de développement des collectivités afin d'aider les collectivités rurales des régions productrices de tabac de l'Ontario",6645651,6613944,6645651,6613944,4730555,4730555,2847166,2845682,0,0
"AGR","Contribution","Contribution","Contributions in support of facilitating the disposal of Specified Risk Materials","Contributions à l'élimination des matières à risque spécifiées",17500000,13851612,17500000,13851612,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contributions in support of research and pilot initiatives related to the AgriInsurance program","Contributions à l'appui de la recherche et d'initiatives pilotes liées au programme Agri-protection",2000000,396000,2000000,396000,2000000,0,2000000,279000,0,0
"AGR","Contribution","Contribution","Contributions in support of the Agricultural Flexibility Fund","Contributions à l'appui du Fonds agri-flexibilité",46416000,4075852,46416000,4075852,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contributions in support of the Agricultural Greenhouse Gases program","Contributions à l'appui du programme de lutte contre les gaz à effet de serre en agriculture",0,0,0,0,500000,0,5382000,3142316,5382000,5321592
"AGR","Contribution","Contribution","Contributions in support of the Private Sector Risk Management Partnership Program","Contributions à l'appui du Programme de partenariat avec le secteur privé pour la gestion des risques",3000000,2959290,3000000,2959290,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contributions to accelerate the pace of innovation and facilitate the adoption of new technologies","Contributions pour accélérer le rythme de l'innovation et faciliter l'adoption de nouvelles technologies",34184919,25195353,34184919,25195353,49948250,48546117,54419680,49024915,52332515,48643531
"AGR","Contribution","Contribution","Contributions to enable competitive enterprises and sectors","Contributions pour permettre la compétitivité des entreprises et des secteurs",37091546,22791947,37091546,22791947,55409813,39972223,47176320,45860182,40529741,36931697
"AGR","Contribution","Contribution","Contributions to enhance the safety and security of Canada's food system","Contributions pour améliorer la salubrité et la sécurité du système alimentaire du Canada",17735951,10664673,17735951,10664673,28008244,18049026,22797890,15316598,20685538,14162100
"AGR","Contribution","Contribution","Contributions to minimize the occurence and extent of risk incidents","Contributions pour réduire au minimum la fréquence et l'ampleur des incidents liés aux risques",20072783,12947277,20072783,12947277,27759908,17792058,32221915,21815205,30402961,18937730
"AGR","Contribution","Contribution","Contributions to promote environmentally responsible agriculture","Contributions pour promouvoir une agriculture respectueuse de l'environnement",71407618,51798659,71407618,51798659,75757161,58025711,73129950,65515610,64891450,62764368
