"DeptCode","votenumber","VoteStatType","vote_text_E","vote_text_F","ME","MYA","SEA","SEB","SEC","Adjustments","Total"
"ACOA","1",1,"Operating expenditures","Dépenses de fonctionnement","67,211,348",0,0,"-133,379","-87,018",0,"66,990,951"
"ACOA","5",3,"Grants and contributions","Subventions et contributions","225,820,293",0,0,"5,532,000","5,381,177",0,"236,733,470"
"ACOA","(S)",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile des ministres",0,0,0,"2,000",0,0,"2,000"
"ACOA","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","6,939,430",0,0,0,"15,100",0,"6,954,530"
"AECB","20",1,"Program expenditures","Dépenses du Programme","34,976,638",0,0,"2,794,373",0,0,"37,771,011"
"AECB","(S)",999,"Expenditures pursuant to paragraph 29.1(1) of the Financial Administration Act","Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques","93,567,046",0,0,0,0,0,"93,567,046"
"AECB","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","4,357,801",0,0,"41,321",0,0,"4,399,122"
"AECL","15",5,"Payments to Atomic Energy of Canada Limited for operating and capital expenditures","Paiements à Énergie atomique du Canada limitée pour les dépenses de fonctionnement et les dépenses en capital","102,143,000",0,"260,300,000","15,619,900",0,0,"378,062,900"
"AECL","(S)",999,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l’article 2146 de la Loi sur l’emploi et la croissance, pour la dissolution d’Énergie atomique du Canada limitée","108,919,637",0,0,0,0,0,"108,919,637"
"AGR","1",1,"Operating expenditures","Dépenses de fonctionnement","594,969,595",0,"44,621,124","3,943,621",0,0,"643,534,340"
"AGR","5",2,"Capital expenditures","Dépenses en capital","27,872,294",0,0,0,0,0,"27,872,294"
"AGR","10",3,"Grants and contributions","Subventions et contributions","226,495,111",0,"220,430,000","1,000,000",0,0,"447,925,111"
"AGR","(S)",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile des ministres","79,102",0,0,0,0,0,"79,102"
"AGR","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","76,634,604",0,"5,201,143",0,0,0,"81,835,747"
"AGR","(S)",999,"Grants and Contribution payments for the AgriInvest Program","Subvention et Paiements de contribution pour le Programme Agri-investissement","143,700,000",0,0,0,0,0,"143,700,000"
"AGR","(S)",999,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)","94,000,000",0,0,0,0,0,"94,000,000"
"AGR","(S)",999,"Grants to agencies established under the Farm Products Agencies Act (R.S.C., 1985, c. ;F-4)","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles (L.R.C. (1985), ch. F-4)","100,000",0,0,0,0,0,"100,000"
"AGR","(S)",999,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles","13,111,013",0,0,0,0,0,"13,111,013"
"AGR","(S)",999,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association","2,500,000",0,0,0,0,0,"2,500,000"
"AGR","(S)",999,"Contribution payments for the AgriInsurance program","Paiements de contributions pour le programme Agri-protection","640,800,000",0,0,0,0,0,"640,800,000"
"AGR","(S)",999,"Contribution payments for the Agricultural Disaster Relief program - AgriRecovery","Paiements de contributions pour le programme d'aide en cas de catastrophe agricole -- Agri-relance","110,800,000",0,0,0,0,0,"110,800,000"
"AGR","(S)",999,"Grant and Contribution Payments for the AgriStability Program","Paiements de subventions et de contributions pour le Programme Agri-stabilité","260,300,000",0,0,0,0,0,"260,300,000"
"AGR","(S)",999,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l'appui de l'Initiative d'aide à l'industrie porcine","634,500",0,0,0,0,0,"634,500"
"AGR","(S)",999,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel","-421,000",0,0,0,0,0,"-421,000"
"AHRAC","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",0,0,0,0,0,0,0
"APPRT","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",0,0,0,0,0,0,0
"CAS","30",1,"Program expenditures","Dépenses du Programme","61,325,338",0,0,0,0,0,"61,325,338"
"CAS","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","7,165,435",0,0,0,0,0,"7,165,435"
"CAT","55",1,"Program expenditures","Dépenses du Programme","1,293,021",0,0,0,0,0,"1,293,021"
"CAT","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","126,850",0,0,0,0,0,"126,850"
"CATSA","20",5,"Payments to the Canadian Air Transport Security Authority for operating and capital expenditures","Paiements à l'Administration canadienne de la sûreté du transport aérien pour les dépenses de fonctionnement et les dépenses en capital","598,286,200",0,0,0,0,0,"598,286,200"
"CB","45",1,"Program expenditures","Dépenses du Programme","2,826,682",0,0,0,0,0,"2,826,682"
"CB","(S)",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","301,313",0,0,0,0,0,"301,313"
"CBC","15",5,"Payments to the Canadian Broadcasting Corporation for operating expenditures","Paiements à la Société Radio-Canada pour les dépenses de fonctionnement","956,913,060",0,0,0,0,0,"956,913,060"
